"Date";"DateCheck";"Q.m3Hrs";"Qna"
2016-03-25 11:24:00;"25/03/2016 11:24";1,089;1,089
2016-03-25 11:26:00;"25/03/2016 11:26";1,147;1,147
2016-03-25 11:28:00;"25/03/2016 11:28";1,095;1,095
2016-03-25 11:30:00;"25/03/2016 11:30";1,079;1,079
2016-03-25 11:32:00;"25/03/2016 11:32";1,114;1,114
2016-03-25 11:34:00;"25/03/2016 11:34";1,178;1,178
2016-03-25 11:36:00;"25/03/2016 11:36";1,147;1,147
2016-03-25 11:38:00;"25/03/2016 11:38";1,107;1,107
2016-03-25 11:40:00;"25/03/2016 11:40";1,114;1,114
2016-03-25 11:42:00;"25/03/2016 11:42";1,149;1,149
2016-03-25 11:44:00;"25/03/2016 11:44";1,147;1,147
2016-03-25 11:46:00;"25/03/2016 11:46";1,127;1,127
2016-03-25 11:48:00;"25/03/2016 11:48";1,175;1,175
2016-03-25 11:50:00;"25/03/2016 11:50";1,112;1,112
2016-03-25 11:52:00;"25/03/2016 11:52";1,108;1,108
2016-03-25 11:54:00;"25/03/2016 11:54";1,173;1,173
2016-03-25 11:56:00;"25/03/2016 11:56";1,138;1,138
2016-03-25 11:58:00;"25/03/2016 11:58";1,101;1,101
2016-03-25 12:00:00;"25/03/2016 12:00";1,123;1,123
2016-03-25 12:02:00;"25/03/2016 12:02";1,105;1,105
2016-03-25 12:04:00;"25/03/2016 12:04";1,135;1,135
2016-03-25 12:06:00;"25/03/2016 12:06";1,105;1,105
2016-03-25 12:08:00;"25/03/2016 12:08";1,152;1,152
2016-03-25 12:10:00;"25/03/2016 12:10";1,193;1,193
2016-03-25 12:12:00;"25/03/2016 12:12";1,179;1,179
2016-03-25 12:14:00;"25/03/2016 12:14";1,102;1,102
2016-03-25 12:16:00;"25/03/2016 12:16";1,19;1,19
2016-03-25 12:18:00;"25/03/2016 12:18";1,105;1,105
2016-03-25 12:20:00;"25/03/2016 12:20";1,135;1,135
2016-03-25 12:22:00;"25/03/2016 12:22";1,112;1,112
2016-03-25 12:24:00;"25/03/2016 12:24";1,143;1,143
2016-03-25 12:26:00;"25/03/2016 12:26";1,184;1,184
2016-03-25 12:28:00;"25/03/2016 12:28";1,151;1,151
2016-03-25 12:30:00;"25/03/2016 12:30";1,127;1,127
2016-03-25 12:32:00;"25/03/2016 12:32";1,1;1,1
2016-03-25 12:34:00;"25/03/2016 12:34";1,112;1,112
2016-03-25 12:36:00;"25/03/2016 12:36";1,176;1,176
2016-03-25 12:38:00;"25/03/2016 12:38";1,154;1,154
2016-03-25 12:40:00;"25/03/2016 12:40";1,14;1,14
2016-03-25 12:42:00;"25/03/2016 12:42";1,141;1,141
2016-03-25 12:44:00;"25/03/2016 12:44";1,081;1,081
2016-03-25 12:46:00;"25/03/2016 12:46";1,1;1,1
2016-03-25 12:48:00;"25/03/2016 12:48";1,095;1,095
2016-03-25 12:50:00;"25/03/2016 12:50";1,19;1,19
2016-03-25 12:52:00;"25/03/2016 12:52";1,144;1,144
2016-03-25 12:54:00;"25/03/2016 12:54";1,119;1,119
2016-03-25 12:56:00;"25/03/2016 12:56";1,17;1,17
2016-03-25 12:58:00;"25/03/2016 12:58";1,107;1,107
2016-03-25 13:00:00;"25/03/2016 13:00";1,165;1,165
2016-03-25 13:02:00;"25/03/2016 13:02";1,074;1,074
2016-03-25 13:04:00;"25/03/2016 13:04";1,1;1,1
2016-03-25 13:06:00;"25/03/2016 13:06";1,15;1,15
2016-03-25 13:08:00;"25/03/2016 13:08";1,113;1,113
2016-03-25 13:10:00;"25/03/2016 13:10";1,147;1,147
2016-03-25 13:12:00;"25/03/2016 13:12";1,245;1,245
2016-03-25 13:14:00;"25/03/2016 13:14";1,15;1,15
2016-03-25 13:16:00;"25/03/2016 13:16";1,136;1,136
2016-03-25 13:18:00;"25/03/2016 13:18";1,137;1,137
2016-03-25 13:20:00;"25/03/2016 13:20";1,144;1,144
2016-03-25 13:22:00;"25/03/2016 13:22";1,096;1,096
2016-03-25 13:24:00;"25/03/2016 13:24";1,099;1,099
2016-03-25 13:26:00;"25/03/2016 13:26";1,161;1,161
2016-03-25 13:28:00;"25/03/2016 13:28";1,142;1,142
2016-03-25 13:30:00;"25/03/2016 13:30";1,134;1,134
2016-03-25 13:32:00;"25/03/2016 13:32";1,138;1,138
